Date,AAPL.Close,TSLA.Close,^NSEI.Close,AAPL.High,TSLA.High,^NSEI.High,AAPL.Low,TSLA.Low,^NSEI.Low,AAPL.Open,TSLA.Open,^NSEI.Open,AAPL.Volume,TSLA.Volume,^NSEI.Volume
2026-01-20,246.2425079345703,419.25,25232.5,254.31750190322293,430.7300109863281,25585.0,242.9685916985444,417.44000244140625,25171.349609375,252.26132447540706,429.3599853515625,25580.30078125,80267500.0,63187300.0,409800.0
2026-01-21,247.1907501220703,431.44000244140625,25157.5,251.09350304772093,438.20001220703125,25300.94921875,244.72532928784554,419.6199951171875,24919.80078125,248.23880604127606,421.6600036621094,25141.0,54641700.0,68124000.0,395600.0
2026-01-22,247.8894500732422,449.3599853515625,25289.900390625,250.53452965267718,449.5,25435.75,247.68980878155546,432.6300048828125,25168.5,248.737864640942,435.1600036621094,25344.150390625,39708300.0,71546700.0,486400.0
2026-01-23,247.58001708984375,449.05999755859375,25048.650390625,248.94748685874615,452.42999267578125,25347.94921875,244.22624741136653,444.0400085449219,25025.30078125,246.86136630134166,447.42999267578125,25344.599609375,41689000.0,56771400.0,393900.0
2026-01-26,254.93637084960938,435.20001220703125,,256.08423219515316,445.0400085449219,,249.33677343540953,434.2799987792969,,251.01365072947274,445.0,,55969200.0,49397400.0,
2026-01-27,257.7910461425781,430.8999938964844,25175.400390625,261.4642450011371,437.5199890136719,25246.650390625,257.73115984508394,430.69000244140625,24932.55078125,258.6894015269614,437.4100036621094,25063.349609375,49648300.0,37733100.0,618700.0
2026-01-28,255.96444702148438,431.4599914550781,25342.75,258.3799421919039,438.260009765625,25372.099609375,254.03801819206552,430.1000061035156,25187.650390625,257.1721946066941,431.9100036621094,25258.849609375,41288000.0,54857400.0,574900.0
2026-01-29,257.801025390625,416.55999755859375,25418.900390625,259.16847988830324,440.2300109863281,25458.150390625,253.93820707645818,414.6199951171875,25159.80078125,257.52154586161765,437.79998779296875,25345.0,67253000.0,81686100.0,582400.0
2026-01-30,258.99884033203125,430.4100036621094,25320.650390625,261.4143357105436,439.8800048828125,25370.69921875,251.71235892004358,422.70001220703125,25213.650390625,254.6968198516284,425.3500061035156,25247.55078125,92443400.0,82626100.0,508400.0
2026-02-02,269.50927734375,421.80999755859375,25088.400390625,269.98836769074944,427.1499938964844,25108.099609375,258.72928762151224,414.5,24679.400390625,259.5477742456141,421.2900085449219,24796.5,73913400.0,58739500.0,449200.0
